gbifID,species,longitude,latitude
872705068,Bombus flavifrons,-105.6006,39.6753
872705066,Bombus sylvicola,-105.6006,39.6753
872705064,Bombus mixtus,-105.6006,39.6753
872705063,Bombus flavifrons,-105.6006,39.6753
872705062,Bombus flavifrons,-105.6006,39.6753
872705059,Bombus flavifrons,-105.6006,39.6753
872705058,Bombus flavifrons,-105.6006,39.6753
872705057,Bombus flavifrons,-105.4467,39.9825
872705056,Bombus mixtus,-105.6006,39.6753
872705053,Bombus bifarius,-105.6006,39.6753
872705052,Bombus flavifrons,-105.6006,39.6753
872705048,Bombus flavifrons,-105.6006,39.6753
872705047,Bombus mixtus,-105.6006,39.6753
872705046,Bombus flavifrons,-105.6028,39.6583
872705044,Bombus mixtus,-105.6006,39.6753
872705041,Bombus mixtus,-105.6006,39.6753
872705039,Bombus flavifrons,-105.6006,39.6753
872705038,Bombus flavifrons,-105.6006,39.6753
872705037,Bombus bifarius,-105.6006,39.6753
872705034,Bombus flavifrons,-105.6006,39.6753
872705033,Bombus flavifrons,-105.6006,39.6753
872705032,Bombus flavifrons,-105.6006,39.6753
872705030,Bombus melanopygus,-105.6006,39.6753
872705028,Bombus flavifrons,-105.6006,39.6753
872705027,Bombus bifarius,-105.6006,39.6753
872705025,Bombus flavifrons,-105.6006,39.6753
872705024,Bombus flavifrons,-105.6006,39.6753
872705023,Bombus flavifrons,-105.6006,39.6753
872705022,Bombus sylvicola,-105.6006,39.6753
872705021,Bombus flavifrons,-105.6006,39.6753
872705020,Bombus flavifrons,-105.6006,39.6753
872705018,Bombus flavifrons,-105.6006,39.6753
872705017,Bombus mixtus,-105.6006,39.6753
872705015,Bombus mixtus,-105.6006,39.6753
872705014,Bombus flavifrons,-105.6006,39.6753
872705013,Bombus flavifrons,-105.6006,39.6753
872705012,Bombus flavifrons,-105.6006,39.6753
872705011,Bombus flavifrons,-105.6006,39.6753
872705008,Bombus flavifrons,-105.6006,39.6753
872705006,Bombus sylvicola,-105.6006,39.6753
872705005,Bombus flavifrons,-105.6006,39.6753
872705003,Bombus flavifrons,-105.6006,39.6753
872705002,Bombus mixtus,-105.6006,39.6753
872705001,Bombus flavifrons,-105.6006,39.6753
872705000,Bombus bifarius,-105.6006,39.6753
872704999,Bombus flavifrons,-105.6006,39.6753
872704998,Bombus flavifrons,-105.6006,39.6753
872704997,Bombus mixtus,-105.6006,39.6753
872704996,Bombus sylvicola,-105.6006,39.6753
872704995,Bombus sylvicola,-105.6006,39.6753
872704994,Bombus flavifrons,-105.6006,39.6753
872704993,Bombus flavifrons,-105.6006,39.6753
872704992,Bombus bifarius,-105.6006,39.6753
872704991,Bombus flavifrons,-105.6006,39.6753
872704990,Bombus flavifrons,-105.6006,39.6753
872704989,Bombus flavifrons,-105.6006,39.6753
872704987,Bombus flavifrons,-105.6006,39.6753
872704985,Bombus flavifrons,-105.6006,39.6753
872704982,Bombus flavifrons,-105.6006,39.6753
872704981,Bombus flavifrons,-105.6006,39.6753
872704980,Bombus flavifrons,-105.6006,39.6753
872704979,Bombus flavifrons,-105.6006,39.6753
872704978,Bombus flavifrons,-105.6006,39.6753
872704977,Bombus flavifrons,-105.6006,39.6753
872704976,Bombus flavifrons,-105.6006,39.6753
872704975,Bombus flavifrons,-105.6006,39.6753
872704974,Bombus flavifrons,-105.6006,39.6753
872704973,Bombus bifarius,-105.6006,39.6753
872704972,Bombus flavifrons,-105.6006,39.6753
872704971,Bombus flavifrons,-105.6006,39.6753
872704970,Bombus flavifrons,-105.6006,39.6753
872704969,Bombus mixtus,-105.6006,39.6753
872704968,Bombus flavifrons,-105.6006,39.6753
872704967,Bombus mixtus,-105.6006,39.6753
872704966,Bombus melanopygus,-105.6006,39.6753
872704965,Bombus flavifrons,-105.6006,39.6753
872704964,Bombus bifarius,-105.6006,39.6753
872704963,Bombus flavifrons,-105.6006,39.6753
872704962,Bombus flavifrons,-105.6006,39.6753
872704961,Bombus flavifrons,-105.6006,39.6753
872704960,Bombus flavifrons,-105.6006,39.6753
872704959,Bombus flavifrons,-105.6006,39.6753
872704958,Bombus bifarius,-105.6006,39.6753
872704957,Bombus flavifrons,-105.6006,39.6753
872704956,Bombus flavifrons,-105.6006,39.6753
872704955,Bombus flavifrons,-105.6006,39.6753
872704954,Bombus flavifrons,-105.6006,39.6753
872704953,Bombus flavifrons,-105.6006,39.6753
872704952,Bombus flavifrons,-105.6006,39.6753
872704951,Bombus bifarius,-105.6006,39.6753
872704950,Bombus flavifrons,-105.6006,39.6753
872704949,Bombus melanopygus,-105.6006,39.6753
872704948,Bombus mixtus,-105.6006,39.6753
872704947,Bombus melanopygus,-105.6006,39.6753
872704946,Bombus flavifrons,-105.6006,39.6753
872704945,Bombus melanopygus,-105.6006,39.6753
872704944,Bombus flavifrons,-105.6006,39.6753
872704943,Bombus bifarius,-105.6006,39.6753
872704942,Bombus flavifrons,-105.6006,39.6753
872704941,Bombus flavifrons,-105.6006,39.6753
872704940,Bombus bifarius,-105.6006,39.6753
872704939,Bombus flavifrons,-105.6006,39.6753
872704937,Bombus flavifrons,-105.6006,39.6753
872704936,Bombus flavifrons,-105.6006,39.6753
872704935,Bombus bifarius,-105.6006,39.6753
872704934,Bombus flavifrons,-105.6006,39.6753
872704932,Bombus flavifrons,-105.6006,39.6753
872704931,Bombus flavifrons,-105.6006,39.6753
872704930,Bombus flavifrons,-105.6006,39.6753
872704928,Bombus melanopygus,-105.6006,39.6753
872704927,Bombus melanopygus,-105.6006,39.6753
872704926,Bombus rufocinctus,-105.6006,39.6753
872704925,Bombus flavifrons,-105.6006,39.6753
872704924,Bombus flavifrons,-105.6006,39.6753
872704923,Bombus rufocinctus,-105.6006,39.6753
872704922,Bombus mixtus,-105.6006,39.6753
872704920,Bombus melanopygus,-105.6006,39.6753
872704919,Bombus flavifrons,-105.6006,39.6753
872704918,Bombus flavifrons,-105.6006,39.6753
872704917,Bombus flavifrons,-105.6006,39.6753
872704916,Bombus melanopygus,-105.6006,39.6753
872704915,Bombus melanopygus,-105.6006,39.6753
872704914,Bombus melanopygus,-105.6006,39.6753
872704913,Bombus flavifrons,-105.6006,39.6753
872704912,Bombus flavifrons,-105.6006,39.6753
872704911,Bombus rufocinctus,-105.6006,39.6753
872704910,Bombus flavifrons,-105.6006,39.6753
872704908,Bombus flavifrons,-105.6006,39.6753
872704907,Bombus flavifrons,-105.6006,39.6753
872704906,Bombus mixtus,-105.6006,39.6753
872704903,Bombus flavifrons,-105.6006,39.6753
872704902,Bombus flavifrons,-105.6006,39.6753
872704901,Bombus flavifrons,-105.6006,39.6753
872704900,Bombus flavifrons,-105.6006,39.6753
872704899,Bombus flavifrons,-105.6006,39.6753
872704898,Bombus flavifrons,-105.6006,39.6753
872704896,Bombus melanopygus,-105.6006,39.6753
872704895,Bombus bifarius,-105.6006,39.6753
872704894,Bombus flavifrons,-105.6006,39.6753
872704893,Bombus bifarius,-105.6006,39.6753
872704891,Bombus bifarius,-105.6006,39.6753
872704890,Bombus flavifrons,-105.6006,39.6753
872704889,Bombus flavifrons,-105.6006,39.6753
872704888,Bombus flavifrons,-105.6006,39.6753
872704886,Bombus flavifrons,-105.6006,39.6753
872704885,Bombus flavifrons,-105.6006,39.6753
872704884,Bombus bifarius,-105.6006,39.6753
872704883,Bombus bifarius,-105.6006,39.6753
872704882,Bombus rufocinctus,-105.6006,39.6753
872704879,Bombus melanopygus,-105.6006,39.6753
872704878,Bombus flavifrons,-105.6006,39.6753
872704877,Bombus bifarius,-105.6006,39.6753
872704874,Bombus flavifrons,-105.6006,39.6753
872704873,Bombus flavifrons,-105.6006,39.6753
872704872,Bombus flavifrons,-105.6006,39.6753
872704871,Bombus mixtus,-105.6006,39.6753
872704870,Bombus flavifrons,-105.6006,39.6753
872704869,Bombus melanopygus,-105.6006,39.6753
872704867,Bombus flavifrons,-105.6006,39.6753
872704865,Bombus melanopygus,-105.6006,39.6753
872704864,Bombus melanopygus,-105.6006,39.6753
872704863,Bombus flavifrons,-105.6006,39.6753
872704854,Bombus flavifrons,-105.6006,39.6753
872704853,Bombus melanopygus,-105.6006,39.6753
872704852,Bombus rufocinctus,-105.6006,39.6753
872704848,Bombus melanopygus,-105.6006,39.6753
872704846,Bombus bifarius,-105.6006,39.6753
872704841,Bombus flavifrons,-105.6006,39.6753
872704840,Bombus mixtus,-105.6006,39.6753
872704839,Bombus mixtus,-105.6006,39.6753
872704836,Bombus flavifrons,-105.6006,39.6753
872704835,Bombus flavifrons,-105.6006,39.6753
872704833,Bombus centralis,-105.4467,39.9825
872704829,Bombus flavifrons,-105.6006,39.6753
872704826,Bombus flavifrons,-105.6006,39.6753
872704825,Bombus flavifrons,-105.6006,39.6753
872704821,Bombus flavifrons,-105.6006,39.6753
872704820,Bombus sylvicola,-105.6006,39.6753
872704815,Bombus bifarius,-105.6006,39.6753
872704813,Bombus flavifrons,-105.6006,39.6753
872704812,Bombus melanopygus,-105.6006,39.6753
872704803,Bombus melanopygus,-105.6006,39.6753
872704801,Bombus bifarius,-105.6006,39.6753
872704790,Bombus flavifrons,-105.6006,39.6753
872704789,Bombus flavifrons,-105.6006,39.6753
872704785,Bombus melanopygus,-105.6006,39.6753
872704778,Bombus flavifrons,-105.6006,39.6753
872704776,Bombus bifarius,-105.6006,39.6753
872704772,Bombus balteatus,-105.6006,39.6753
872704746,Bombus mixtus,-105.6006,39.6753
872704724,Bombus flavifrons,-105.6006,39.6753
872704706,Bombus mixtus,-105.6006,39.6753
872704700,Bombus flavifrons,-105.6006,39.6753
872704633,Bombus balteatus,-105.6436,39.5986
872704421,Bombus insularis,-105.6006,39.6753
872704400,Bombus insularis,-105.6006,39.6753
872704351,Bombus fernaldae,-105.7083,40.3333
872704335,Bombus fernaldae,-105.6006,39.6753
872704274,Bombus fernaldae,-105.6006,39.6753
872703952,Bombus melanopygus,-105.605,39.6372
872703936,Bombus nevadensis,-107.1303,34.0242
872703925,Bombus flavifrons,-105.6006,39.6753
872703915,Bombus balteatus,-105.605,39.6372
872703902,Bombus sylvicola,-105.6006,39.6753
872703901,Bombus sylvicola,-105.6006,39.6753
872703887,Bombus bifarius,-106.58,40.0672
872703875,Bombus flavifrons,-105.6436,39.5986
872703870,Bombus melanopygus,-105.6006,39.6753
872703858,Bombus balteatus,-105.8786,39.6636
872703844,Bombus rufocinctus,-105.6006,39.6753
872703833,Bombus melanopygus,-105.6006,39.6753
872703825,Bombus frigidus,-105.8786,39.6636
872703786,Bombus melanopygus,-105.6006,39.6753
872703784,Bombus balteatus,-105.605,39.6372
872703770,Bombus melanopygus,-105.6617,39.6722
872703761,Bombus bifarius,-105.6028,39.6583
872703760,Bombus balteatus,-105.605,39.6372
872703757,Bombus mixtus,-105.6006,39.6753
872703748,Bombus mixtus,-105.6028,39.6583
872703736,Bombus occidentalis,-106.58,40.0672
872703733,Bombus mixtus,-105.6006,39.6753
872703724,Bombus balteatus,-105.6028,39.6583
872703717,Bombus balteatus,-105.6436,39.5986
872703682,Bombus occidentalis,-105.4467,39.9825
772814461,Bombus fervidus,-103.0,42.0
769168294,Bombus flavifrons,-106.141,39.264
769168163,Bombus mixtus,-106.141,39.264
769062080,Bombus flavifrons,-106.141,39.264
769062079,Bombus flavifrons,-106.141,39.264
769062078,Bombus flavifrons,-106.141,39.264
769062077,Bombus flavifrons,-106.141,39.264
769062071,Bombus mixtus,-106.141,39.264
767203789,Bombus griseocollis,-102.0,42.0
767150541,Bombus griseocollis,-102.87,41.81
767150540,Bombus fervidus,-102.87,41.81
767150539,Bombus pensylvanicus,-102.87,41.81
767150538,Bombus pensylvanicus,-102.87,41.81
767150536,Bombus pensylvanicus,-102.87,41.81
767150535,Bombus pensylvanicus,-102.87,41.81
767150468,Bombus fervidus,-103.68,42.06
767150467,Bombus huntii,-103.68,42.04
767150466,Bombus huntii,-103.68,42.04
767150465,Bombus huntii,-103.68,42.04
767150464,Bombus griseocollis,-103.68,42.04
767150461,Bombus fervidus,-103.68,42.04
767150460,Bombus fervidus,-103.68,42.04
767150399,Bombus fervidus,-104.114,37.866
767150398,Bombus griseocollis,-104.37167,40.1675
767150397,Bombus fervidus,-104.37167,40.1675
767150396,Bombus pensylvanicus,-104.37167,40.1675
767150392,Bombus centralis,-104.43861,36.90333
767150391,Bombus centralis,-104.43861,36.90333
767150387,Bombus rufocinctus,-104.50417,37.03194
767150386,Bombus rufocinctus,-104.50417,37.03194
767150385,Bombus rufocinctus,-104.50417,37.03194
767150384,Bombus rufocinctus,-104.50417,37.03194
767150383,Bombus rufocinctus,-104.50417,37.03194
767150382,Bombus rufocinctus,-104.50417,37.03194
767150380,Bombus rufocinctus,-104.50417,37.03194
767150379,Bombus rufocinctus,-104.50417,37.03194
767150378,Bombus rufocinctus,-104.50417,37.03194
767150377,Bombus huntii,-104.50417,37.03194
767150376,Bombus fervidus,-104.50417,37.03194
767150375,Bombus fervidus,-104.50417,37.03194
767150374,Bombus fervidus,-104.50417,37.03194
767150373,Bombus fervidus,-104.50417,37.03194
767150372,Bombus fervidus,-104.50417,37.03194
767150371,Bombus fervidus,-104.50417,37.03194
767150369,Bombus fervidus,-104.50417,37.03194
767150368,Bombus centralis,-104.50417,37.03194
767150367,Bombus centralis,-104.50417,37.03194
767150366,Bombus centralis,-104.50417,37.03194
767150365,Bombus centralis,-104.50417,37.03194
767150364,Bombus centralis,-104.50417,37.03194
767150363,Bombus centralis,-104.50417,37.03194
767150362,Bombus centralis,-104.50417,37.03194
767150361,Bombus centralis,-104.50417,37.03194
767150360,Bombus centralis,-104.50417,37.03194
767150358,Bombus centralis,-104.50417,37.03194
767150357,Bombus centralis,-104.50417,37.03194
767150354,Bombus huntii,-104.53667,39.21944
767150353,Bombus huntii,-104.53667,39.21944
767150352,Bombus huntii,-104.53667,39.21944
767150351,Bombus centralis,-104.53667,39.21944
767150347,Bombus huntii,-104.653,37.403
767150343,Bombus pensylvanicus,-104.77972,37.62417
767150341,Bombus huntii,-104.88667,39.22861
767150340,Bombus flavifrons,-104.91917,37.39361
767150339,Bombus flavifrons,-104.91917,37.39361
767150338,Bombus flavifrons,-104.91917,37.39361
767150336,Bombus flavifrons,-104.92,37.394
767150335,Bombus flavifrons,-104.92,37.394
767150334,Bombus flavifrons,-104.92,37.394
767150333,Bombus bifarius,-104.92972,38.83167
767150330,Bombus huntii,-104.98417,39.73917
767150329,Bombus huntii,-104.98417,39.73917
767150328,Bombus huntii,-104.98417,39.73917
767150326,Bombus huntii,-104.98417,39.73917
767150325,Bombus huntii,-104.98417,39.73917
767150324,Bombus fervidus,-104.98417,39.73917
767150321,Bombus pensylvanicus,-104.98417,39.73917
767150320,Bombus pensylvanicus,-104.98417,39.73917
767150319,Bombus pensylvanicus,-104.98417,39.73917
767150317,Bombus huntii,-105.00722,37.505
767150314,Bombus flavifrons,-105.008,37.505
767150313,Bombus flavifrons,-105.008,37.505
767150312,Bombus flavifrons,-105.008,37.505
767150311,Bombus flavifrons,-105.008,37.505
767150310,Bombus rufocinctus,-105.01667,37.15222
767150309,Bombus nevadensis,-105.01667,37.15222
767150308,Bombus huntii,-105.01667,37.15222
767150304,Bombus huntii,-105.02,41.27565
767150301,Bombus flavifrons,-105.05639,38.99389
767150300,Bombus centralis,-105.05639,38.99389
767150280,Bombus nevadensis,-105.105,39.485
767150277,Bombus flavifrons,-105.144,39.952
767150265,Bombus flavifrons,-105.20278,37.59306
767150264,Bombus bifarius,-105.20278,37.59306
767150263,Bombus bifarius,-105.20278,37.59306
767150262,Bombus bifarius,-105.20278,37.59306
767150261,Bombus bifarius,-105.20278,37.59306
767150260,Bombus bifarius,-105.20278,37.59306
767150259,Bombus bifarius,-105.20278,37.59306
767150258,Bombus bifarius,-105.20278,37.59306
767150256,Bombus bifarius,-105.20278,37.59306
767150255,Bombus bifarius,-105.20278,37.59306
767150254,Bombus bifarius,-105.20278,37.59306
767150253,Bombus bifarius,-105.20278,37.59306
767150252,Bombus nevadensis,-105.22056,39.75556
767150251,Bombus huntii,-105.22056,39.75556
767150250,Bombus huntii,-105.22056,39.75556
767150249,Bombus huntii,-105.22056,39.75556
767150248,Bombus huntii,-105.22056,39.75556
767150246,Bombus huntii,-105.22056,39.75556
767150245,Bombus huntii,-105.22056,39.75556
767150244,Bombus fervidus,-105.22056,39.75556
767150243,Bombus bifarius,-105.22056,39.75556
767150242,Bombus rufocinctus,-105.22056,39.75556
767150241,Bombus rufocinctus,-105.22056,39.75556
767150240,Bombus fervidus,-105.22056,39.75556
767150239,Bombus huntii,-105.22056,39.75556
767150238,Bombus fervidus,-105.22056,39.75556
767150237,Bombus fervidus,-105.22056,39.75556
767150229,Bombus centralis,-105.221,39.756
767150228,Bombus nevadensis,-105.22333,35.59389
767150227,Bombus nevadensis,-105.22333,35.59389
767150225,Bombus nevadensis,-105.22333,35.59389
767150221,Bombus fervidus,-105.22333,35.59389
767150220,Bombus fervidus,-105.23194,39.75222
767150219,Bombus huntii,-105.232,39.752
767150217,Bombus huntii,-105.232,39.752
767150216,Bombus huntii,-105.232,39.752
767150215,Bombus rufocinctus,-105.23389,39.75278
767150212,Bombus fervidus,-105.25,40.0
767150209,Bombus fervidus,-105.27,40.015
767150208,Bombus fernaldae,-105.27,40.015
767150207,Bombus huntii,-105.27,40.015
767150206,Bombus centralis,-105.27,40.015
767150205,Bombus centralis,-105.27,40.015
767150203,Bombus centralis,-105.27,40.015
767150202,Bombus centralis,-105.27,40.015
767150198,Bombus centralis,-105.35,40.083
767150195,Bombus huntii,-105.35,40.083
767150194,Bombus centralis,-105.35,40.083
767150192,Bombus rufocinctus,-105.351,40.083
767150191,Bombus rufocinctus,-105.351,40.083
767150190,Bombus nevadensis,-105.351,40.083
767150189,Bombus fervidus,-105.351,40.083
767150184,Bombus centralis,-105.38583,39.39917
767150181,Bombus rufocinctus,-105.4119,40.0107
767150180,Bombus huntii,-105.4119,40.0107
767150179,Bombus huntii,-105.4119,40.0107
767150178,Bombus fervidus,-105.4119,40.0107
767150177,Bombus fervidus,-105.4119,40.0107
767150176,Bombus fervidus,-105.4119,40.0107
767150175,Bombus fervidus,-105.4119,40.0107
767150174,Bombus centralis,-105.4119,40.0107
767150173,Bombus nevadensis,-105.43333,37.42889
767150157,Bombus centralis,-105.50778,40.07222
767150156,Bombus centralis,-105.50778,40.07222
767150154,Bombus rufocinctus,-105.50778,40.07222
767150153,Bombus rufocinctus,-105.50778,40.07222
767150151,Bombus rufocinctus,-105.50778,40.07222
767150150,Bombus rufocinctus,-105.50778,40.07222
767150149,Bombus rufocinctus,-105.50778,40.07222
767150148,Bombus rufocinctus,-105.50778,40.07222
767150147,Bombus rufocinctus,-105.50778,40.07222
767150146,Bombus rufocinctus,-105.50778,40.07222
767150145,Bombus mixtus,-105.50778,40.07222
767150144,Bombus mixtus,-105.50778,40.07222
767150143,Bombus mixtus,-105.50778,40.07222
767150142,Bombus mixtus,-105.50778,40.07222
767150140,Bombus mixtus,-105.50778,40.07222
767150138,Bombus insularis,-105.50778,40.07222
767150137,Bombus insularis,-105.50778,40.07222
767150136,Bombus frigidus,-105.50778,40.07222
767150135,Bombus flavifrons,-105.50778,40.07222
767150134,Bombus flavifrons,-105.50778,40.07222
767150133,Bombus flavifrons,-105.50778,40.07222
767150132,Bombus flavifrons,-105.50778,40.07222
767150129,Bombus bifarius,-105.50778,40.07222
767150128,Bombus bifarius,-105.50778,40.07222
767150127,Bombus bifarius,-105.50778,40.07222
767150126,Bombus bifarius,-105.50778,40.07222
767150122,Bombus rufocinctus,-105.50778,40.07222
767150121,Bombus centralis,-105.50778,40.07222
767150120,Bombus bifarius,-105.50778,40.07222
767150118,Bombus bifarius,-105.50778,40.07222
767150117,Bombus insularis,-105.508,40.072
767150116,Bombus insularis,-105.508,40.072
767150114,Bombus rufocinctus,-105.508,40.072
767150113,Bombus bifarius,-105.508,40.072
767150112,Bombus bifarius,-105.508,40.072
767150111,Bombus bifarius,-105.508,40.072
767150107,Bombus flavifrons,-105.5125,40.08333
767150106,Bombus bifarius,-105.5125,40.08333
767150105,Bombus bifarius,-105.516,40.3765
